lat,lon,ts
47.60999,-122.20658,2018-06-07 00:36:06.000
47.60999,-122.20658,2018-06-07 00:36:19.000
47.60999,-122.20661,2018-06-07 00:36:29.000
47.60998,-122.20665,2018-06-07 00:37:00.000
47.6101,-122.20653,2018-06-07 00:37:16.000
47.61035,-122.20401,2018-06-07 00:37:45.341
47.61026,-122.20259,2018-06-07 00:38:22.685
47.61031,-122.20276,2018-06-07 00:38:41.000
47.61016,-122.20284,2018-06-07 00:38:56.000
47.61008,-122.20158,2018-06-07 00:39:11.000
47.60781,-122.20147,2018-06-07 00:39:27.000
47.60732,-122.20146,2018-06-07 00:39:30.000
47.60405,-122.2014,2018-06-07 00:39:51.000
47.60195,-122.2009,2018-06-07 00:40:07.000
47.60003,-122.19984,2018-06-07 00:40:22.000
47.59794,-122.19888,2018-06-07 00:40:38.000
47.59734,-122.19862,2018-06-07 00:40:53.000
47.59729,-122.1986,2018-06-07 00:40:59.647
47.59727,-122.19859,2018-06-07 00:41:01.000
47.59697,-122.19846,2018-06-07 00:41:17.000
47.59686,-122.19845,2018-06-07 00:41:33.000
47.5964,-122.19826,2018-06-07 00:41:48.000
47.59639,-122.19825,2018-06-07 00:41:51.000
47.59519,-122.19737,2018-06-07 00:42:11.000
47.59485,-122.1971,2018-06-07 00:42:27.000
47.59484,-122.19707,2018-06-07 00:42:43.000
47.59459,-122.19688,2018-06-07 00:42:58.000
47.59448,-122.19676,2018-06-07 00:43:01.000
47.59421,-122.19622,2018-06-07 00:43:21.000
47.59378,-122.19535,2018-06-07 00:43:36.000
47.5933,-122.19486,2018-06-07 00:43:52.000
47.59224,-122.19411,2018-06-07 00:44:07.000
47.59184,-122.19383,2018-06-07 00:44:11.000
47.59029,-122.1927,2018-06-07 00:44:31.000
47.58945,-122.19218,2018-06-07 00:44:47.000
47.58815,-122.19179,2018-06-07 00:45:03.000
47.58784,-122.19171,2018-06-07 00:45:07.000
47.58613,-122.19111,2018-06-07 00:45:51.000
47.58534,-122.19042,2018-06-07 00:46:07.000
47.58529,-122.19036,2018-06-07 00:46:23.000
47.58497,-122.18997,2018-06-07 00:46:38.000
47.58498,-122.18998,2018-06-07 00:46:41.000
47.58328,-122.18838,2018-06-07 00:47:11.000
47.58312,-122.18826,2018-06-07 00:47:26.000
47.58175,-122.18804,2018-06-07 00:47:42.000
47.58016,-122.18896,2018-06-07 00:47:57.000
47.5799,-122.18912,2018-06-07 00:48:01.000
47.57934,-122.1844,2018-06-07 00:48:31.000
47.57983,-122.18033,2018-06-07 00:48:46.000
47.58029,-122.17487,2018-06-07 00:49:02.000
47.58016,-122.16828,2018-06-07 00:49:18.000
47.58009,-122.16652,2018-06-07 00:49:22.000
47.57974,-122.15846,2018-06-07 00:49:41.000
47.5794,-122.15319,2018-06-07 00:49:56.000
47.57915,-122.14758,2018-06-07 00:50:12.000
47.57897,-122.143,2018-06-07 00:50:27.000
47.57894,-122.14169,2018-06-07 00:50:31.000
47.57864,-122.13567,2018-06-07 00:50:51.000
47.57787,-122.13147,2018-06-07 00:51:06.000
47.57643,-122.12751,2018-06-07 00:51:21.000
47.57502,-122.12356,2018-06-07 00:51:36.000
47.57444,-122.12202,2018-06-07 00:51:41.000
47.57147,-122.1138,2018-06-07 00:52:11.000
47.56994,-122.10943,2018-06-07 00:52:27.000
47.56814,-122.10467,2018-06-07 00:52:43.000
47.56553,-122.09996,2018-06-07 00:52:59.000
47.56287,-122.09531,2018-06-07 00:53:15.000
47.56162,-122.09302,2018-06-07 00:53:23.000
